,Job Title,Client,Job Description,Location
83,Data Platform Engineer,Nova Credit,You have experience designing and operating infrastructure (we use Terraform + Ansible to manage our stack on AWS),"San Francisco, CA 94103"
88,Data Engineer,Coalition,Deliver productionquality software implementations for ETL and streaming pipelines,"San Francisco, CA"
90,Data Engineer,Coalition,"Deep understanding of ETL pipelines, statistical modeling, data analytics, and large scale data streaming","San Francisco, CA"
91,Data Engineer,Coalition,"Expertlevel knowledge of SQL, Python, R, or similar language used for data engineering","San Francisco, CA"
93,Data Engineer,Coalition,Indepth knowledge of AWS or other cloudhosted platforms relevant to data engineering,"San Francisco, CA"
94,Senior Data Engineer,TuneIn,Build and rewrite existing data pipelines using Java/Python/Go to improve efficiency and latency,"San Francisco, CA 94107"
97,Senior Data Engineer,TuneIn,"Working knowledge of both relational and NoSQL database design and management (here at TuneIn we are using Redshift, DynamoDB and Aurora)","San Francisco, CA 94107"
98,Senior Data Engineer,TuneIn,"History of building resilient, stateless, scalable, distributed and observable systems","San Francisco, CA 94107"
102,Data Engineer,MANTICORE GAMES,Work with the team to manage the data warehouse and ELT\ETL data integration for all of Manticore Games.,"San Mateo, CA 94404"
109,Machine Learning Data Engineer,Labelbox,"Intimate experience with MLOps principles (Terraform, CI/CD, experiment management, data management)","San Francisco, CA 94110"
115,"Software Engineer, Data",Current Job Openings at Vouch Insurance,"Establishing best practices around building scalable, productionready data processing solutions, as well as researching and implementing the most efficient mechanisms for data access.","San Francisco, CA"
121,Data Infrastructure Engineer,Benchling,"Define and design data transformations and pipelines for these crossfunctional datasets, while ensuring that data integrity and data privacy are firstclass concerns regarded proactively, instead of reactively.","San Francisco, CA 94103"
128,Data Engineer,Tolfrey Group Inc,"Build pipelines that support the ingestion, analysis, and enrichment of financial data.","San Francisco, CA 94107"
132,Data Engineer,Tolfrey Group Inc,"Experience with real estate (MRI, Yardi, RealPage) or accounting systems (SAP, Lawson) is a plus","San Francisco, CA 94107"
141,Software Engineer  Privacy and Data Protection Engineering,Twitter,"Backend development experience with a solid foundation in data pipelines, distributed systems, largescale data processing","San Francisco, CA 94103"
142,Data Scientist/Research Engineer,Apixio,"Design, coding, testing and monitoring of new classifiers in production environments that drive our analytical and SaaS product platforms","San Mateo, CA"
147,Data Scientist/Research Engineer,Apixio,Commercial experience building and deploying scalable software solutions that employ machine learning algorithms in production environments,"San Mateo, CA"
149,"Data Product Engineer, Revenue Science",Twitter,How Twitter Migrated its OnPrem Analytics to Google Cloud (Google Cloud Next '18),"San Francisco, CA 94103"
150,"Data Product Engineer, Revenue Science",Twitter,"Experience writing Big Data pipelines, as well as custom or structured ETL, implementation and maintenance","San Francisco, CA 94103"
151,"Data Product Engineer, Revenue Science",Twitter,"Experience with realtime streaming (Apache Kafka, Apache Beam, Heron, Spark Streaming)","San Francisco, CA 94103"
153,Data Engineer  Product Analytics,Stitch Fix,"You will build and own large additions to our data engineering framework, contributing to a code framework that centralizes ETL logic and definitions","San Francisco, CA"
154,Data Engineer  Product Analytics,Stitch Fix,"You will help to define, build and maintain a clear, concise data model, especially focused on scalable product analytics infrastructure","San Francisco, CA"
155,Data Engineer  Product Analytics,Stitch Fix,You will build scalable data engineering solutions & frameworks to solve business and data problems,"San Francisco, CA"
157,Data Engineer  Product Analytics,Stitch Fix,You will have autonomy to help shape the future of data engineering at Stitch Fix by bringing your ideas on improving and automating what we do and how we do it,"San Francisco, CA"
158,Data Engineer  Product Analytics,Stitch Fix,"Work with different teams of data scientists, engineers and business partners on how to solve data and business problems in a scalable way","San Francisco, CA"
159,Data Engineer  Product Analytics,Stitch Fix,"Experience in building out scalable data models and data engineering capabilities, specifically around product analytics infrastructure","San Francisco, CA"
162,Data Engineer  Product Analytics,Stitch Fix,You will be proud to say that you work for Stitch Fix and will know that the work you do brings joy to our clients every day,"San Francisco, CA"
163,Data Engineer I,BigCommerce,"Build and maintain scalable and reliable near real time data pipeline on cloud that collects, transforms, loads and curates data from various internal and external data sources","San Francisco, CA 94104"
166,Data Engineer I,BigCommerce,Work with various stakeholders to help define and maintain event schemas needed for Data pipeline,"San Francisco, CA 94104"
167,Data Engineer,InVitae,Develop a realtime streaming infrastructure that supports critical business functions,"San Francisco, CA 94107"
168,Data Engineer,InVitae,"Have a focus on highquality code, including automated testing and coding best practices","San Francisco, CA 94107"
174,Data Engineer,Rex,"Significant experience with multiple data platforms, including SQL and NoSQL systems.","Redwood City, CA 94065"
190,Software Engineer  Data,Mixpanel,Build and maintain ETL jobs for centralizing data into our Google Cloud data lake,"San Francisco, CA"
192,Software Engineer  Data,Mixpanel,"We run in Google Cloud and rely heavily on BigQuery, Cloud Storage and our internal ETL frameworks to automate tasks","San Francisco, CA"
200,Lead Data Engineer,GreatSchools,Lead improvements to GreatSchools data pipeline:Identify and assess new tools and processes that increase the efficiency of ETL processes and analytics.Serve as the lead project owner for defining and implementing tool and process enhancements.Support the integration of Data Engineering and Data Science through writing scalable code.Leads and owns the Data Engineering release process.,"Oakland, CA 94612"
201,Lead Data Engineer,GreatSchools,Identify and assess new tools and processes that increase the efficiency of ETL processes and analytics.,"Oakland, CA 94612"
203,Lead Data Engineer,GreatSchools,Support the integration of Data Engineering and Data Science through writing scalable code.,"Oakland, CA 94612"
204,Lead Data Engineer,GreatSchools,Advise and support Data Engineering team:Develop tools and processes to support ETL developers through increased automation and quality control of data loading.Provide guidance for the work of other data team members.Advise and assist in size and difficulty assessment for infrastructure projects.Lead and advise code review process.Track and share best practices related to dataengineering.Represent Data Engineering on our Data Governance and Data Strategy Council.,"Oakland, CA 94612"
205,Lead Data Engineer,GreatSchools,Develop tools and processes to support ETL developers through increased automation and quality control of data loading.,"Oakland, CA 94612"
206,Lead Data Engineer,GreatSchools,"Database design and management:Indepth knowledge of relational databases (MySQL, PostgreSQL)Proficiency in writing advanced SQL queries, and expertise in performance tuning of SQL queriesExperience with database transformation, modeling and normalization","Oakland, CA 94612"
207,Lead Data Engineer,GreatSchools,"Proficiency in writing advanced SQL queries, and expertise in performance tuning of SQL queries","Oakland, CA 94612"
208,Lead Data Engineer,GreatSchools,"Experience with data processing and workflow management tools such as Spark, Airflow/Luigi, Azkaban, etc.","Oakland, CA 94612"
212,Software Engineer (Data)  Health Data Engineering,Twitter,Directly contribute to the design and code of the data pipelines operating on production data,"San Francisco, CA 94103"
216,Software Engineer (Data)  Health Data Engineering,Twitter,You have a solid understanding of backend and distributed systems and strong experience working with MapReducebased architectures.,"San Francisco, CA 94103"
221,Distributed Systems Engineer  Data,CloudFlare,"Experience designing, integrating, and optimizing distributed data processing pipelines","San Francisco, CA"
223,Distributed Systems Engineer  Data,CloudFlare,Experience building and administering alerting and monitoring systems around data processing pipelines,"San Francisco, CA"
224,Distributed Systems Engineer  Data,CloudFlare,"Experience with cluster and configuration management systems such as Docker, Mesos, Marathon, Salt","San Francisco, CA"
226,Senior Data Engineer,Clarify Health Solutions.,"Utilize ETL tools to integrate build production and postproduction data pipelines that move data from a variety of sources into a warehouse, monitor data quality, check for errors and conform data to standards","San Francisco, CA"
227,Senior Data Engineer,Clarify Health Solutions.,"Query relational databases, research new features, and build resources necessary where they are not already existing","San Francisco, CA"
232,Sr. Data Engineer,Wish,"Experience and knowledge of modern data warehouse, pipeline and reporting/analytic techniques and tools such as Airflow, presto/hive, Spark.","San Francisco, CA"
233,Data Solutions Engineer,Sisu,"Create, maintain, and optimize data pipeline architecture internally and on behalf of our clients.","San Francisco, CA"
234,Data Solutions Engineer,Sisu,Help pave strategic roadmaps for how Sisu should approach data engineering (such as data ingestion and ETL process) and how Sisu should navigate data solutions for customers to receive maximum value from Sisu,"San Francisco, CA"
237,Data Solutions Engineer,Sisu,"Advanced working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases.","San Francisco, CA"
239,Data Solutions Engineer,Sisu,"Experience building and optimizing, including ETL/ETL process and tools, for data pipelines, architectures and data sets.","San Francisco, CA"
246,"Senior Data Engineer, Life Science Products",Komodo Health,"Designed, developed, and implemented data infrastructure, data pipelines and data processing code for product features.","San Francisco, CA"
248,"Senior Data Engineer, Life Science Products",Komodo Health,"Created automation systems and tools to configure, monitor, and orchestrate our data infrastructure and our data pipelines.","San Francisco, CA"
251,"Senior Data Engineer, Life Science Products",Komodo Health,"You've led planning, launching, optimizing, and refactoring phases of data pipeline platforms.","San Francisco, CA"
254,"Data Engineer, Enterprise Portfolio Office",First Republic Bank,Liaison with data source system and SQL Server PMO_ODS and PMO_ODS technical resources personnel to coordinate changes,
265,Sr. Data Engineer II,Shutterfly,Work closely with Data Operations to improve CI/CD pipelines and improve the operation and performance of the Data Warehouse,"Redwood City, CA"
267,Sr. Data Engineer II,Shutterfly,Experience working in the AWS Services Ecosystem or relevant Cloud Infrastructures such as Google Cloud or Azure,"Redwood City, CA"
273,Senior Data Engineer,Kiva.org,"Collaborate with analysts, data scientists & engineers to write data transforms/pipelines to generate reliable insights, and build datadriven products.","San Francisco, CA"
275,Senior Data Engineer,Kiva.org,You have built data platforms to enable analytics and datadriven products using agile software development principles.,"San Francisco, CA"
276,Senior Data Engineer,Kiva.org,"You have experience working with modern analytics tools (like Looker / Tableau / Metabase, etc.) to design userfacing analytics.","San Francisco, CA"
280,Data Engineer,Scoop Technologies,"Architect, develop, and deploy infrastructure for large scale ETL pipelines with data processing frameworks","San Francisco, CA"
283,Data Engineer,Scoop Technologies,"Emphasis in high code quality, high code clarity, automated testing, and engineering best practices","San Francisco, CA"
288,Data Engineer,Autodesk,Maintain/ develop a scalable database/ data warehouse through connecting disparate data tables housed across numerous organizational systems and different business lines,"San Francisco, CA"
300,Senior Data Warehouse Engineer  Relocation Assistance Available!,The Cheesecake Factory,"Leads and executes migration of Data Warehouse platform to Azure platform, and subsequently manages all Data Pipelines and Data Lake.",
301,Senior Data Warehouse Engineer  Relocation Assistance Available!,The Cheesecake Factory,"Designs and develops Extraction, Transformation and Loading (ETL) processes to acquire and load data from internal and external sources.",
302,Senior Data Warehouse Engineer  Relocation Assistance Available!,The Cheesecake Factory,"Accountable for all aspects of the data warehouse processes including data modeling, ETL, data validation and implementation.",
304,Senior Data Warehouse Engineer  Relocation Assistance Available!,The Cheesecake Factory,"Develops and implements programs in various languages like SQL stored procedures, ASP .Net, Java, Python etc.",
305,Senior Data Warehouse Engineer  Relocation Assistance Available!,The Cheesecake Factory,"Significant experience with data modeling skills (conceptual, logical and physical model design, Operational Data Stores, Enterprise Data Warehouses and Data Marts).",
307,Senior Data Warehouse Engineer  Relocation Assistance Available!,The Cheesecake Factory,"Experience with Big Data technologies, AWS or Azure cloud environment, and RealTime Integration methodologies.",
322,Data & Analytics Data Engineer,Slalom Consulting,"Exposure to open source and proprietary cloud data pipeline tools such as Airflow, Glue and Dataflow","San Francisco, CA 94105"
323,Data & Analytics Data Engineer,Slalom Consulting,"Experience with code management tools (e.g. Git, SVN) and DevOps tools (e.g. Docker, Bamboo, Jenkins)","San Francisco, CA 94105"
340,Data Engineer MLOps,States Title,Set up model monitoring pipelines that help us visualize performance through live business intelligent dashboards.,"San Francisco, CA"
341,Data Engineer MLOps,States Title,"Knowledge of DevOps practices and experience with related tooling (containers, infrastructureascode, observability, etc).","San Francisco, CA"
346,Staff Data Engineer,Venmo,Advanced proficient with SQL and highly skilled in at least one scripting language such as Python or Scala.,"San Francisco, CA"
347,Staff Data Engineer,Venmo,"Familiarity with statistics, data analysis and data visualization tools such as Tableau or Looker.","San Francisco, CA"
350,Data Management & Integration Engineer,Burstorm,Be a key member of the office of the CTO helping shape the future of Burstorm application services with a focus on Data Management & Integration capabilities.,"San Carlos, CA"
364,Engineer  Data Center Deployment Path Forward Returnship,CloudFlare,"Aggressively seek opportunities to introduce cuttingedge technology and automation solutions that are effective, efficient and scalable in order to improve our ability to deploy and maintain our global infrastructure","San Francisco, CA"
370,Software Engineer Data Platforms,Wish,"Experience with development, integration and tuning using Presto, Spark, Hive or other Query processing framework.","San Francisco, CA"
374,"Software Engineer, Data Platforms",Curology,"You'll automate manual processes by working closely with teams like Marketing, BizOps, and Product to discover opportunities for programatic efficiency.","San Francisco, CA"
379,"Software Engineer, Data Platforms",Curology,(Bonus) You've built systems at scale with AWS Lambda or a similar serverless technology.,"San Francisco, CA"
382,Senior Business Intelligence Data Engineer,Fastly,"You'll design, build, document, and manage reliable and scalable datamarts that yield strategic insights for businesscritical decisions.","San Francisco, CA 94105"
384,Senior Business Intelligence Data Engineer,Fastly,You have experience with cloud data warehouse technologies (such as BigQuery or Snowflake).,"San Francisco, CA 94105"
386,Senior Business Intelligence Data Engineer,Fastly,"You have experience with Salesforce, NetSuite, Zendesk, and other SaaS applications as a data source.","San Francisco, CA 94105"
389,Senior Business Intelligence Data Engineer,Fastly,"You have handson experience with visualization and reporting technologies (DOMO, Looker, or Tableau).","San Francisco, CA 94105"
403,"Software Engineer, Data Warehouse",Pinterest,"Extensive experience with one or more of the following frameworks: Spark, SparkSQL, Hadoop","San Francisco, CA 94103"
404,"Software Engineer, Data Warehouse",Pinterest,"Extensive experience with one or more of the following frameworks: Spark, Druid, Hadoop","San Francisco, CA 94103"
406,"Software Engineer, Data",Fathom Health,"A solid understanding of databases and largescale data processing frameworks like Hadoop or Spark. You’ve not only worked with a variety of technologies, but know how to pick the right tool for the job.","San Francisco, CA"
408,"Software Engineer, Data",Fathom Health,"Experience with managing largescale data labelling and acquisition, through tools such as through Amazon Turk or DeepDive.","San Francisco, CA"
409,Big data Engineer,Simply Hired,Strong ability create and maintain data pipelines and advanced analytic that capture data for reporting purposes,"San Francisco, CA"
410,Big data Engineer,Simply Hired,Strong experience with scripting languages (Python) for building out the data pipelines,"San Francisco, CA"
411,Big data Engineer,Simply Hired,"Experience with enterprise ETL tools such as Informatica PowerCenter, Informatica Cloud, or equivalent","San Francisco, CA"
413,"Senior Software Engineer, Data",Autodesk,Build and scale data infrastructure that powers batch and realtime data processing of billions of records,"San Francisco, CA"
415,"Senior Software Engineer, Data",Autodesk,"Strong overall programming skills, able to write modular, maintainable code, preferably Python & SQL","San Francisco, CA"
416,"Senior Software Engineer, Data",Autodesk,"Experience building codedriven infrastructure on public cloud platforms, preferably AWS","San Francisco, CA"
417,"Senior Software Engineer, Data",Autodesk,"Understanding of SQL, dimensional modeling, and analytical data warehouses, like Snowflake","San Francisco, CA"
418,"Senior Software Engineer, Data",Autodesk,"Experience with automation frameworks/tools like Git, Jenkins, Ansible, and Terraform","San Francisco, CA"
421,eCom Data Engineer,PepsiCo,"Work with apis and other data acquisition methods to collect webbased data, as well as leverage sql for data querying across enterprise platforms.",
423,eCom Data Engineer,PepsiCo,"Leverage the use of python, SQL server integration services (SSIS) and SQL server data quality services (DQS) to process and enrich raw data.",
424,eCom Data Engineer,PepsiCo,"Implement data extraction procedures from internal databases like sap and Teradata (supply chain system), oracle (finance system) and other shared folders on PepsiCo's local network.",
425,eCom Data Engineer,PepsiCo,"Use python, apache airflow and apache nifi to interact with these sources using algorithms and tools such as simple file transfer protocol (SFTP), OBDC and JDBC drivers for transferring data from source to destination.",
426,eCom Data Engineer,PepsiCo,Design data warehouse implementations based on industryrecognized standards and leverages tools including Erwin data modeler and SQL server.,
431,Data Engineer,Logic20/20,Cloud solution implementation experience with Azure Data Lake and Spark preferred,"San Francisco, CA"
436,Data Engineer,Backblaze,"Build scalable, efficient and highperformance pipelines/ workflows that are capable of processing large amounts of batch and realtime data","San Mateo, CA 94401"
438,Data Engineer,Backblaze,"Multidisciplinary work supporting realtime streams, ETL pipelines, data warehouses and reporting services","San Mateo, CA 94401"
443,Data Engineer,Liftoff,"Have endtoend ownership of Liftoff's backend infrastructure, including distributed data stores, data processing pipelines, and highperformance front end servers.","Redwood City, CA"
450,Data Engineer,Glu Mobile,"Building scalable, accurate and extensible stream processing applications using cuttingedge technology such as Spark Streaming and Apache Flink.","San Francisco, CA 94105"
451,Data Engineer,Glu Mobile,"Building data support for our personalization and experimentation efforts, solving problems from statistical test automation to building realtime M/L applications.","San Francisco, CA 94105"
452,Data Engineer,Glu Mobile,"Experience with distributed stream processing technologies such as Flink, Spark Streaming and/or Kafka Streams.","San Francisco, CA 94105"
453,Data Engineer,Glu Mobile,"Experience with CI/CD process, testing framework, and containerization technology","San Francisco, CA 94105"
459,Data Scientist,Duetto Research,"Experience in SQL, data processing, data exploration, data preparation and validation.","San Francisco, CA 94108"
468,Data Engineer,Survata,"You've used a lot of AWS services. You love some, are frustrated by others, and can't wait to try the next one","San Francisco, CA"
469,Data Engineer,Survata,"You either have experience with the likes of Spark, EMR, and Hadoop, or you've read a ton about them and are dying to get your hands dirty","San Francisco, CA"
476,Data Engineer,Google,Experience designing and building scalable and robust data pipelines to enable datadriven decisions for the business.,
480,Data Engineer,Google,Build data pipelines and reports that enable analysts and other stakeholders across the organization.,
485,Apple Cloud Infrastructure  Data Services Engineer,Apple,"Excitement for Agile methodologies: pair programming, TDD, and continuous delivery of software.",
490,Lead Data Engineer (Software Sr Engineer),Wells Fargo,"End to end ownership of data process & ETL data pipelines, from ingestion of data to consumption by business intelligence and advanced analytics teams.",
491,Lead Data Engineer (Software Sr Engineer),Wells Fargo,"Design, build and maintain automated, selfservice data platform, freeing teams to focus on customer features and analysis.",
496,Lead Data Engineer (Software Sr Engineer),Wells Fargo,"Extensive knowledge in fine tuning SQL, understanding optimizers, and execution plans.",
497,Lead Data Engineer (Software Sr Engineer),Wells Fargo,"Deep experience designing and implementing highly scalable, distributed application systems.",
509,Senior Data Engineer,Thumbtack,Experience building ETL data pipelines in a programming language like Python or Scala,"San Francisco, CA 94103"
511,Senior Data Engineer,Thumbtack,Experience with a modern public cloudbased tech stack on AWS/GCP and the Google BigQuery data environment,"San Francisco, CA 94103"
512,Senior Data Engineer,Thumbtack,Experience orchestrating data pipelines that serve hourly or daily metric reporting in Airflow,"San Francisco, CA 94103"
518,Software Engineer  Data Engineering,Tempo Automation,"Experience with Terraform, CloudFormation, or other infrastructureascode providers","San Francisco, CA"
525,"Senior Software Engineer, Data Infrastructure",Pocket Gems,We released a new unified logging system for our R&D teams to start logging within minutes using any client library of their choice.,"San Francisco, CA 94104"
526,"Senior Software Engineer, Data Infrastructure",Pocket Gems,Our unified logging system for R&D teams to support unstructured data and BI insights.,"San Francisco, CA 94104"
538,"Senior Software Engineer, Data Infrastructure",Carta,Partner with the rest of the team on prototyping and building scalable products driven by the data team,"San Francisco, CA 94104"
554,Healthcare Data Analyst,"Perficient, Inc","Experience creating logical sourcetotarget mappings which can be used by data integration engineers to develop batch and services based data pipelines to populate an enterprise data warehouse, data lake, or otherwise","San Francisco, CA 94104"
556,Healthcare Data Analyst,"Perficient, Inc","Experience working with sql interpreters: Toad, Embarcadero, or equivalent; must have very strong sql skills","San Francisco, CA 94104"
557,Healthcare Data Analyst,"Perficient, Inc","Experience with data analysis & profiling tools and patterns: IBM Information Analyzer, Informatica Data Analyzer, or equivalent","San Francisco, CA 94104"
561,Sr Data Engineer #6580,Fanatics Inc.,Design and deliver highly scalable multitiered distributed software applications.,"San Mateo, CA"
562,Sr Data Engineer #6580,Fanatics Inc.,Be part of an agile team and sharing responsibilities of testing and development as the role demands.,"San Mateo, CA"
571,Data Platform Engineer  Scientific Working Environment,Stitch Fix,you enjoy building systems using a mix of Python and Go in an AWSheavy environment.,
576,Data Platform Engineer  Scientific Working Environment,Stitch Fix,you have experience working with AWS resources (familiarity with ECS and Docker is a plus),
581,Data Engineer,Coda,"Building, migrating, and maintaining robust ETL pipelines from different sources (S3, Relational Databases) to Snowflake with Apache Airflow",
582,Data Engineer,Coda,Optimizing the performance of businesscritical queries and dealing with ETL jobrelated issues including tuning application and query performance,
586,SAP Hana Data Warehouse Engineer,Autodesk,Provide SAP HANA processing subject matter expertise to projects and implements industry best ETL technologies to satisfy client requirements,"San Rafael, CA"
589,SAP Hana Data Warehouse Engineer,Autodesk,"Design, develop, and test ETL solutions including modeling data warehouse metadata and automating data loading processes","San Rafael, CA"
590,SAP Hana Data Warehouse Engineer,Autodesk,Design and implement an efficient migration process to move ETL objects from development to test and production environments,"San Rafael, CA"
594,SAP Hana Data Warehouse Engineer,Autodesk,Good knowledge on building HANA views using SDI/SDA and ETL process using Data Services,"San Rafael, CA"
596,Data Analytics Engineer Lead,Sibly Inc,Create analytic tools and reporting dashboards utilizing data pipelines to provide insights for product and operational teams,"Redwood City, CA 94063"
597,Data Analytics Engineer Lead,Sibly Inc,Experience with business analytics tools such as Tableau and Looker is highly desirable,"Redwood City, CA 94063"
598,Data Engineer,Susquehanna International Group,"Collaborate with other researchers, developers, and traders to improve existing strategies and conduct research and development supporting the application of new algorithms designed for scalable implementation","Alameda, CA"
600,Data Engineer,Susquehanna International Group,Experience developing scalable pipelines and model implementations suitable for high volume data sets.,"Alameda, CA"
606,Data Scientist – Experimentation (Contract Position),Getty Images,"Partner with engineers, data engineers, and data scientists to drive creation of and improvements to user interaction logging and data pipelines","San Francisco, CA 94103"
608,Data Scientist – Experimentation (Contract Position),Getty Images,"If you are selftaught and believe you are a good fit for this role, or have significant work experience, we would love to hear from you as well.","San Francisco, CA 94103"
622,Software Engineer  Applied ML and Data Science,Databricks,"Experience with distributed data processing systems like Spark and Hadoop, and proficiency in SQL.","San Francisco, CA 94704"
624,Senior Data Engineer,Numerator,"Design, develop and maintain data integration pipelines for Numerators growing data sets and product offerings","San Francisco, CA"
626,Senior Data Engineer,Numerator,Build data validation testing frameworks to ensure high data quality and integrity,"San Francisco, CA"
628,Senior Data Engineer,Numerator,"Expert in SQL, including advanced analytical queries, window functions, CTEs and query optimization","San Francisco, CA"
629,Senior Data Engineer,Numerator,"Airflow  Experience building and monitoring DAGs, developing custom operators and using script templating solutions","San Francisco, CA"
635,Senior Data Science Engineer,Clarify Health Solutions.,Operationalizing machine learning in our platform pipeline for a growing database of longitudinal health information,"San Francisco, CA"
641,Senior Data Science Engineer,Clarify Health Solutions.,"Selfsufficiency to query relational databases, research new features, and build resources necessary where they are not already existing","San Francisco, CA"
643,Senior Software Engineer  Big Data,Cisco Meraki,"Partner with multiple team members from engineering, infrastructure and data science to develop big data pipelines on hybrid platform.","San Francisco, CA 94158"
644,Senior Software Engineer  Big Data,Cisco Meraki,"Experience designing and developing data processing frameworks and tools, such as Kafka Streaming, Spark, Hadoop etc","San Francisco, CA 94158"
645,Senior Data Engineer,Kinship,"Design and implement optimal data models and pipelines, building the foundations for a better understanding of pets and pet owners for our Kinship businesses","San Francisco, CA"
647,Senior Data Engineer,Kinship,"Build tools that utilize the data pipeline that provide actionable insights into pet owner acquisition, operational efficiency and other key business performance metrics","San Francisco, CA"
649,Senior Data Engineer,Kinship,Further a collaborative environment across teams and business units by operating in an agile environment,"San Francisco, CA"
658,Software Engineer  Data,Blend Labs,"Experience and interest in working with stateoftheart data technologies: Hive, Redshift, Snowflake, or other data warehouses strongly preferred","San Francisco, CA 94103"
659,Software Engineer  Data,Blend Labs,Experience with AWS or GCP devops a plusDeep understanding of the infrastructure that powers large scale analytics and machine learning systems a plus,"San Francisco, CA 94103"
664,Senior Data Engineer,Spin Electric Scooters,"Experience with realtime data streaming infrastructure like AWS Kinesis, Spark or Kafka","San Francisco, CA"
669,Senior Machine Learning Engineer  Data Science,SIFT,Scale machine learning pipelines used to produce thousands of models derived from terabytes of data,"San Francisco, CA 94105"
676,Data Science Manager,TaskRabbit,Agile. Intelligent. Creative. Problemsolver. Startup lover. You like making things happen.,"San Francisco, CA"
680,Senior Data Engineer,BigCommerce,"Build scalable and reliable near real time data pipeline on cloud that collects, transforms, loads and curates data from various internal and external data sources","San Francisco, CA 94104"
684,Senior Data Engineer,BigCommerce,"Experience in using big data technologies such as Kafka, Spark, Hadoop, HBase or their equivalents","San Francisco, CA 94104"
685,Senior Data Engineer,BigCommerce,Experience with tools such as AirFlow for scheduling and monitoring of data workflow will be a plus,"San Francisco, CA 94104"
686,Senior Data Engineer,BigCommerce,Experience with managed data processing services of cloud platforms such as GCP and/or AWS,"San Francisco, CA 94104"
693,Senior Data Engineer,PG&E,"Strong Data Engineering experience specifically including AWS Glue, Python, PySpark and SQL",
703,Software Engineer  Data Platform,Databricks,"Develop best practices and frameworks for unit, functional and integration tests around data pipelines, and drive the team towards increased overall test coverage.","San Francisco, CA 94704"
704,Software Engineer  Data Platform,Databricks,Design CI and deployment processes and best practices for the production data pipelines.,"San Francisco, CA 94704"
706,"Staff Data Engineer, eComm, Backend",Walmart,"Provide data architecture that is flexible, scalable, and consistent for crossfunctional use, and aligned to stakeholder business requirements.",
707,"Staff Data Engineer, eComm, Backend",Walmart,"Design and Build realtime analytics platform by leveraging Apache Flume, Kafka, and Spark Structured Streaming or similar technologies",
708,"Staff Data Engineer, eComm, Backend",Walmart,"Enhance and Maintain a Google Cloud based data platform built using DataProc, PubSub, Cloud Storage, Jupyter Hub (Jupyter Notebooks) and Livy",
714,Senior Data Engineer,"Outdoorsy, Inc.","Design, build and automate large scale, highperformance data processing systems (batch and/or streaming) to enable data science solutions, drive business growth and improve the product experience","San Francisco, CA 94103"
715,Senior Data Engineer,"Outdoorsy, Inc.",Build extremely efficient and reliable data pipelines to move and transform data (both large and small amounts),"San Francisco, CA 94103"
718,Senior Data Engineer,"Outdoorsy, Inc.",Experience with AWS or GCP cloud technologies and services (experience with analytics services and data lake concepts are a plus),"San Francisco, CA 94103"
719,Senior Data Engineer,"Outdoorsy, Inc.",Experience with streaming data processing methods and frameworks (e.g. Kafka or Kinesis),"San Francisco, CA 94103"
